id,title,description,category,hand,department,priority,sla_hours,urgency,resolution_steps,citations
syn-0215,Outlook stuck on loading profile — Anita (Software) resolved,Outlook hangs on loading profile for user mailbox 6.,Application,1,Software,P1,24,medium,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0215 | KB-APP-1
syn-0216,Chrome slow after update — Subbu (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P1,24,medium,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0216 | KB-APP-1
syn-0217,SharePoint upload permission denied — Sruthi (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 5.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0217 | KB-APP-2
syn-0218,Chrome slow after update — Meena (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P0,4,high,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0218 | KB-APP-1
syn-0219,SharePoint upload permission denied — Anita (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 6.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0219 | KB-APP-2
syn-0220,SharePoint upload permission denied — Subbu (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 8.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0220 | KB-APP-2
syn-0221,SAP GUI session timeout — Sruthi (Software) resolved,SAP GUI disconnects every 2 minutes with RFC_ERROR.,Application,2,Software,P2,48,low,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0221 | KB-APP-2
syn-0222,SAP GUI session timeout — Meena (Software) resolved,SAP GUI disconnects every 8 minutes with RFC_ERROR.,Application,2,Software,P0,4,high,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0222 | KB-APP-2
syn-0223,SAP GUI session timeout — Anita (Software) resolved,SAP GUI disconnects every 6 minutes with RFC_ERROR.,Application,2,Software,P2,48,low,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0223 | KB-APP-2
syn-0224,SAP GUI session timeout — Subbu (Software) resolved,SAP GUI disconnects every 3 minutes with RFC_ERROR.,Application,2,Software,P0,4,high,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0224 | KB-APP-2
syn-0225,SharePoint upload permission denied — Sruthi (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 5.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0225 | KB-APP-2
syn-0226,SharePoint upload permission denied — Meena (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 9.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0226 | KB-APP-2
syn-0227,Outlook stuck on loading profile — Anita (Software) resolved,Outlook hangs on loading profile for user mailbox 9.,Application,1,Software,P1,24,medium,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0227 | KB-APP-1
syn-0228,SAP GUI session timeout — Subbu (Software) resolved,SAP GUI disconnects every 3 minutes with RFC_ERROR.,Application,2,Software,P2,48,low,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0228 | KB-APP-2
syn-0229,SharePoint upload permission denied — Sruthi (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 2.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0229 | KB-APP-2
syn-0230,SharePoint upload permission denied — Meena (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 5.,Application,2,Software,P2,48,low,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0230 | KB-APP-2
syn-0231,Vague application error — Anita (Software) resolved,Application shows weird error — user did not capture message. Intermittent.,Application,3,Software,P1,24,medium,Schedule live triage to capture screenshot. | Enable verbose client logging. | Route to app owner after symptoms confirmed.,SYN-0231 | KB-APP-3
syn-0232,SharePoint upload permission denied — Subbu (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 4.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0232 | KB-APP-2
syn-0233,SAP GUI session timeout — Sruthi (Software) resolved,SAP GUI disconnects every 5 minutes with RFC_ERROR.,Application,2,Software,P2,48,low,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0233 | KB-APP-2
syn-0234,Chrome slow after update — Meena (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P1,24,medium,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0234 | KB-APP-1
syn-0235,Outlook stuck on loading profile — Anita (Software) resolved,Outlook hangs on loading profile for user mailbox 6.,Application,1,Software,P2,48,low,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0235 | KB-APP-1
syn-0236,Outlook stuck on loading profile — Subbu (Software) resolved,Outlook hangs on loading profile for user mailbox 3.,Application,1,Software,P1,24,medium,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0236 | KB-APP-1
syn-0237,Vague application error — Sruthi (Software) resolved,Application shows weird error — user did not capture message. Intermittent.,Application,3,Software,P2,48,low,Schedule live triage to capture screenshot. | Enable verbose client logging. | Route to app owner after symptoms confirmed.,SYN-0237 | KB-APP-3
syn-0238,Chrome slow after update — Meena (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P2,48,low,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0238 | KB-APP-1
syn-0239,SharePoint upload permission denied — Anita (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 2.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0239 | KB-APP-2
syn-0240,Chrome slow after update — Subbu (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P0,4,high,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0240 | KB-APP-1
syn-0241,Chrome slow after update — Sruthi (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P1,24,medium,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0241 | KB-APP-1
syn-0242,Vague application error — Meena (Software) resolved,Application shows weird error — user did not capture message. Intermittent.,Application,3,Software,P1,24,medium,Schedule live triage to capture screenshot. | Enable verbose client logging. | Route to app owner after symptoms confirmed.,SYN-0242 | KB-APP-3
syn-0243,SharePoint upload permission denied — Anita (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 2.,Application,2,Software,P2,48,low,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0243 | KB-APP-2
syn-0244,Outlook stuck on loading profile — Subbu (Software) resolved,Outlook hangs on loading profile for user mailbox 7.,Application,1,Software,P1,24,medium,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0244 | KB-APP-1
syn-0245,Vague application error — Sruthi (Software) resolved,Application shows weird error — user did not capture message. Intermittent.,Application,3,Software,P2,48,low,Schedule live triage to capture screenshot. | Enable verbose client logging. | Route to app owner after symptoms confirmed.,SYN-0245 | KB-APP-3
syn-0246,SharePoint upload permission denied — Meena (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 6.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0246 | KB-APP-2
syn-0247,SAP GUI session timeout — Anita (Software) resolved,SAP GUI disconnects every 9 minutes with RFC_ERROR.,Application,2,Software,P1,24,medium,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0247 | KB-APP-2
syn-0248,Outlook stuck on loading profile — Subbu (Software) resolved,Outlook hangs on loading profile for user mailbox 8.,Application,1,Software,P1,24,medium,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0248 | KB-APP-1
syn-0249,SAP GUI session timeout — Sruthi (Software) resolved,SAP GUI disconnects every 7 minutes with RFC_ERROR.,Application,2,Software,P1,24,medium,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0249 | KB-APP-2
syn-0250,Chrome slow after update — Meena (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P2,48,low,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0250 | KB-APP-1
syn-0251,SAP GUI session timeout — Anita (Software) resolved,SAP GUI disconnects every 9 minutes with RFC_ERROR.,Application,2,Software,P2,48,low,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0251 | KB-APP-2
syn-0252,Outlook stuck on loading profile — Subbu (Software) resolved,Outlook hangs on loading profile for user mailbox 6.,Application,1,Software,P2,48,low,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0252 | KB-APP-1
syn-0253,Chrome slow after update — Sruthi (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P1,24,medium,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0253 | KB-APP-1
syn-0254,SAP GUI session timeout — Meena (Software) resolved,SAP GUI disconnects every 4 minutes with RFC_ERROR.,Application,2,Software,P1,24,medium,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0254 | KB-APP-2
syn-0255,Vague application error — Anita (Software) resolved,Application shows weird error — user did not capture message. Intermittent.,Application,3,Software,P1,24,medium,Schedule live triage to capture screenshot. | Enable verbose client logging. | Route to app owner after symptoms confirmed.,SYN-0255 | KB-APP-3
syn-0256,SharePoint upload permission denied — Subbu (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 5.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0256 | KB-APP-2
syn-0257,SAP GUI session timeout — Sruthi (Software) resolved,SAP GUI disconnects every 2 minutes with RFC_ERROR.,Application,2,Software,P0,4,high,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0257 | KB-APP-2
syn-0258,Outlook stuck on loading profile — Meena (Software) resolved,Outlook hangs on loading profile for user mailbox 8.,Application,1,Software,P1,24,medium,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0258 | KB-APP-1
syn-0259,SharePoint upload permission denied — Anita (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 9.,Application,2,Software,P0,4,high,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0259 | KB-APP-2
syn-0260,SAP GUI session timeout — Subbu (Software) resolved,SAP GUI disconnects every 7 minutes with RFC_ERROR.,Application,2,Software,P2,48,low,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0260 | KB-APP-2
syn-0261,Outlook stuck on loading profile — Sruthi (Software) resolved,Outlook hangs on loading profile for user mailbox 2.,Application,1,Software,P1,24,medium,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0261 | KB-APP-1
syn-0262,Chrome slow after update — Meena (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P1,24,medium,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0262 | KB-APP-1
syn-0263,Chrome slow after update — Anita (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P1,24,medium,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0263 | KB-APP-1
syn-0264,Chrome slow after update — Subbu (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P1,24,medium,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0264 | KB-APP-1
syn-0265,Outlook stuck on loading profile — Sruthi (Software) resolved,Outlook hangs on loading profile for user mailbox 8.,Application,1,Software,P2,48,low,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0265 | KB-APP-1
syn-0266,Chrome slow after update — Meena (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P0,4,high,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0266 | KB-APP-1
syn-0267,SharePoint upload permission denied — Anita (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 4.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0267 | KB-APP-2
syn-0268,SharePoint upload permission denied — Subbu (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 8.,Application,2,Software,P2,48,low,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0268 | KB-APP-2
syn-0269,Outlook stuck on loading profile — Sruthi (Software) resolved,Outlook hangs on loading profile for user mailbox 8.,Application,1,Software,P1,24,medium,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0269 | KB-APP-1
syn-0270,Vague application error — Meena (Software) resolved,Application shows weird error — user did not capture message. Intermittent.,Application,3,Software,P2,48,low,Schedule live triage to capture screenshot. | Enable verbose client logging. | Route to app owner after symptoms confirmed.,SYN-0270 | KB-APP-3
syn-0271,SAP GUI session timeout — Anita (Software) resolved,SAP GUI disconnects every 3 minutes with RFC_ERROR.,Application,2,Software,P1,24,medium,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0271 | KB-APP-2
syn-0272,SharePoint upload permission denied — Subbu (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 4.,Application,2,Software,P2,48,low,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0272 | KB-APP-2
syn-0273,Outlook stuck on loading profile — Sruthi (Software) resolved,Outlook hangs on loading profile for user mailbox 6.,Application,1,Software,P2,48,low,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0273 | KB-APP-1
syn-0274,Outlook stuck on loading profile — Meena (Software) resolved,Outlook hangs on loading profile for user mailbox 8.,Application,1,Software,P2,48,low,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0274 | KB-APP-1
syn-0275,Chrome slow after update — Anita (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P1,24,medium,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0275 | KB-APP-1
syn-0276,SharePoint upload permission denied — Subbu (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 7.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0276 | KB-APP-2
syn-0277,Vague application error — Sruthi (Software) resolved,Application shows weird error — user did not capture message. Intermittent.,Application,3,Software,P2,48,low,Schedule live triage to capture screenshot. | Enable verbose client logging. | Route to app owner after symptoms confirmed.,SYN-0277 | KB-APP-3
syn-0278,Chrome slow after update — Meena (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P0,4,high,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0278 | KB-APP-1
syn-0279,Outlook stuck on loading profile — Anita (Software) resolved,Outlook hangs on loading profile for user mailbox 2.,Application,1,Software,P1,24,medium,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0279 | KB-APP-1
syn-0280,Chrome slow after update — Subbu (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P1,24,medium,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0280 | KB-APP-1
syn-0281,Chrome slow after update — Sruthi (Software) resolved,Google Chrome spins on every site after Windows update. Other browsers OK.,Application,1,Software,P2,48,low,Clear browser cache and disable extensions. | Reset Chrome settings to default. | Reinstall Chrome from official package.,SYN-0281 | KB-APP-1
syn-0282,Vague application error — Meena (Software) resolved,Application shows weird error — user did not capture message. Intermittent.,Application,3,Software,P1,24,medium,Schedule live triage to capture screenshot. | Enable verbose client logging. | Route to app owner after symptoms confirmed.,SYN-0282 | KB-APP-3
syn-0283,SharePoint upload permission denied — Anita (Software) resolved,Cannot upload files to SharePoint team site — permission denied on library 7.,Application,2,Software,P1,24,medium,Verify user has Contribute on the document library. | Check if site is in read-only or retention hold. | Re-sync OneDrive client and retry upload.,SYN-0283 | KB-APP-2
syn-0284,Outlook stuck on loading profile — Subbu (Software) resolved,Outlook hangs on loading profile for user mailbox 5.,Application,1,Software,P1,24,medium,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0284 | KB-APP-1
syn-0285,Outlook stuck on loading profile — Sruthi (Software) resolved,Outlook hangs on loading profile for user mailbox 4.,Application,1,Software,P2,48,low,Start Outlook in safe mode (outlook.exe /safe). | Create new Outlook profile and re-add account. | Repair Office installation from Control Panel.,SYN-0285 | KB-APP-1
syn-0286,SAP GUI session timeout — Meena (Software) resolved,SAP GUI disconnects every 5 minutes with RFC_ERROR.,Application,2,Software,P1,24,medium,Increase SAP GUI idle timeout per policy. | Check VPN stability and MTU settings. | Clear local SAP GUI cache and reapply patches.,SYN-0286 | KB-APP-2
syn-0287,AWS access key exposed on GitHub — Rohan (SecOps) resolved,Raw AWS secret access key pushed to public GitHub branch repo-3.,Security,3,SecOps,P1,24,medium,Rotate compromised key immediately in IAM. | Invalidate active sessions using the key. | Run secret scan and open SecOps incident.,SYN-0287 | KB-SEC-3
syn-0288,Phishing report — credential harvest — Narsimha (SecOps) resolved,User reported phishing email asking for O365 password on fake login page.,Security,3,SecOps,P1,24,medium,Quarantine sender domain at email gateway. | Force password reset if user submitted credentials. | Publish awareness alert for similar lures.,SYN-0288 | KB-SEC-3
syn-0289,AWS access key exposed on GitHub — Narsimha SecOps,Raw AWS secret access key pushed to public GitHub branch repo-9.,Security,3,SecOps,P2,48,low,Rotate compromised key immediately in IAM. | Invalidate active sessions using the key. | Run secret scan and open SecOps incident.,SYN-0289 | KB-SEC-3
syn-0290,VPN unauthorized access alert — Rohan (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P0,4,high,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0290 | KB-SEC-3
syn-0291,VPN unauthorized access alert — Narsimha (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P1,24,medium,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0291 | KB-SEC-3
syn-0292,VPN unauthorized access alert — Chandana (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P0,4,high,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0292 | KB-SEC-3
syn-0293,AWS access key exposed on GitHub — Rohan (SecOps) resolved,Raw AWS secret access key pushed to public GitHub branch repo-7.,Security,3,SecOps,P1,24,medium,Rotate compromised key immediately in IAM. | Invalidate active sessions using the key. | Run secret scan and open SecOps incident.,SYN-0293 | KB-SEC-3
syn-0294,Phishing credential harvest — Narsimha SecOps H3,User reported phishing email asking for O365 password on fake login page.,Security,3,SecOps,P1,24,medium,Quarantine sender domain at email gateway. | Force password reset if user submitted credentials. | Publish awareness alert for similar lures.,SYN-0294 | KB-SEC-3
syn-0295,VPN unauthorized access alert — Chandana (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P2,48,low,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0295 | KB-SEC-3
syn-0296,Phishing report — credential harvest — Rohan (SecOps) resolved,User reported phishing email asking for O365 password on fake login page.,Security,3,SecOps,P1,24,medium,Quarantine sender domain at email gateway. | Force password reset if user submitted credentials. | Publish awareness alert for similar lures.,SYN-0296 | KB-SEC-3
syn-0297,VPN unauthorized access alert — Narsimha (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P1,24,medium,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0297 | KB-SEC-3
syn-0298,AWS access key exposed on GitHub — Chandana (SecOps) resolved,Raw AWS secret access key pushed to public GitHub branch repo-7.,Security,3,SecOps,P0,4,high,Rotate compromised key immediately in IAM. | Invalidate active sessions using the key. | Run secret scan and open SecOps incident.,SYN-0298 | KB-SEC-3
syn-0299,VPN unauthorized access alert — Rohan (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P2,48,low,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0299 | KB-SEC-3
syn-0300,Phishing report — credential harvest — Narsimha (SecOps) resolved,User reported phishing email asking for O365 password on fake login page.,Security,3,SecOps,P0,4,high,Quarantine sender domain at email gateway. | Force password reset if user submitted credentials. | Publish awareness alert for similar lures.,SYN-0300 | KB-SEC-3
syn-0301,VPN unauthorized access alert — Chandana (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P0,4,high,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0301 | KB-SEC-3
syn-0302,GitLab CI secret in log — Chandana security desk,Raw AWS secret access key pushed to public GitHub branch repo-8.,Security,3,SecOps,P2,48,low,Rotate compromised key immediately in IAM. | Invalidate active sessions using the key. | Run secret scan and open SecOps incident.,SYN-0302 | KB-SEC-3
syn-0303,VPN unauthorized access alert — Narsimha (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P0,4,high,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0303 | KB-SEC-3
syn-0304,Phishing report — credential harvest — Chandana (SecOps) resolved,User reported phishing email asking for O365 password on fake login page.,Security,3,SecOps,P2,48,low,Quarantine sender domain at email gateway. | Force password reset if user submitted credentials. | Publish awareness alert for similar lures.,SYN-0304 | KB-SEC-3
syn-0305,VPN unauthorized access alert — Rohan (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P2,48,low,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0305 | KB-SEC-3
syn-0306,VPN unauthorized access alert — Narsimha (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P0,4,high,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0306 | KB-SEC-3
syn-0307,Phishing report — credential harvest — Chandana (SecOps) resolved,User reported phishing email asking for O365 password on fake login page.,Security,3,SecOps,P1,24,medium,Quarantine sender domain at email gateway. | Force password reset if user submitted credentials. | Publish awareness alert for similar lures.,SYN-0307 | KB-SEC-3
syn-0308,AWS access key exposed on GitHub — Rohan (SecOps) resolved,Raw AWS secret access key pushed to public GitHub branch repo-3.,Security,3,SecOps,P1,24,medium,Rotate compromised key immediately in IAM. | Invalidate active sessions using the key. | Run secret scan and open SecOps incident.,SYN-0308 | KB-SEC-3
syn-0309,AWS access key exposed on GitHub — Narsimha (SecOps) resolved,Raw AWS secret access key pushed to public GitHub branch repo-8.,Security,3,SecOps,P2,48,low,Rotate compromised key immediately in IAM. | Invalidate active sessions using the key. | Run secret scan and open SecOps incident.,SYN-0309 | KB-SEC-3
syn-0310,AWS access key exposed on GitHub — Chandana (SecOps) resolved,Raw AWS secret access key pushed to public GitHub branch repo-6.,Security,3,SecOps,P1,24,medium,Rotate compromised key immediately in IAM. | Invalidate active sessions using the key. | Run secret scan and open SecOps incident.,SYN-0310 | KB-SEC-3
syn-0311,Spear-phishing report — Chandana SecOps specialist,User reported phishing email asking for O365 password on fake login page.,Security,3,SecOps,P1,24,medium,Quarantine sender domain at email gateway. | Force password reset if user submitted credentials. | Publish awareness alert for similar lures.,SYN-0311 | KB-SEC-3
syn-0312,Phishing report — credential harvest — Narsimha (SecOps) resolved,User reported phishing email asking for O365 password on fake login page.,Security,3,SecOps,P1,24,medium,Quarantine sender domain at email gateway. | Force password reset if user submitted credentials. | Publish awareness alert for similar lures.,SYN-0312 | KB-SEC-3
syn-0313,Phishing report — credential harvest — Chandana (SecOps) resolved,User reported phishing email asking for O365 password on fake login page.,Security,3,SecOps,P0,4,high,Quarantine sender domain at email gateway. | Force password reset if user submitted credentials. | Publish awareness alert for similar lures.,SYN-0313 | KB-SEC-3
syn-0314,Phishing report — credential harvest — Rohan (SecOps) resolved,User reported phishing email asking for O365 password on fake login page.,Security,3,SecOps,P1,24,medium,Quarantine sender domain at email gateway. | Force password reset if user submitted credentials. | Publish awareness alert for similar lures.,SYN-0314 | KB-SEC-3
syn-0315,VPN unauthorized access alert — Narsimha (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P0,4,high,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0315 | KB-SEC-3
syn-0316,VPN unauthorized access alert — Chandana (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P0,4,high,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0316 | KB-SEC-3
syn-0317,VPN unauthorized access alert — Rohan (SecOps) resolved,Possible unauthorized VPN access detected on admin account from unknown geo.,Security,3,SecOps,P1,24,medium,Disable affected VPN account pending review. | Collect authentication logs for last 24 hours. | SecOps to verify travel policy and MFA status.,SYN-0317 | KB-SEC-3
